Gene_name,GSM4089641,GSM4089642,GSM4089643,GSM4089647,GSM4089648,GSM4089649
CRYZL1,6.660894399,6.351041691,6.428336721,5.816277138,5.414555017,5.503431427
PRSS33,3.024644143,4.699757051,5.245332126,3.535231823,2.070959423,2.711089574
PRSS33,1.9795681,2.120448161,4.20387457,0.431804789,2.87662892,0.386678532
C19orf26,2.898171583,1.483152791,2.8546859,1.392822964,7.21E-05,0.910379619
C19orf26,3.00144918,3.364278261,0.984953851,-0.050852079,-0.348838525,0.735738782
MCMDC2,1.947602576,1.991096401,2.501602196,-0.184827926,-1.97742907,2.298121604
TIRAP,4.559736524,4.478311767,5.532628658,4.111699072,4.837872619,4.668890656
LEAP2,6.185386888,6.191148069,5.493378341,4.787437689,4.154534604,4.650569277
MSI2,5.105879183,4.570153228,5.202590114,2.441780912,6.384196625,6.59011543
SCIN,5.810458528,6.06102874,6.379321178,-1.270545552,3.321971375,1.857069322
SCIN,3.497906112,0.766221984,5.306451825,-1.210225685,2.341157454,-0.920608917
CTCFL,2.115233048,4.266276823,3.17232109,3.243306534,2.831340183,2.235742375
C4orf33,3.190725468,2.711697531,4.832798894,4.027100958,4.228618623,4.208657714
C4orf33,-2.1432262,2.298027732,2.952089369,-2.767476766,-2.975113001,2.464276177
C4orf33,-0.005617234,-0.038634491,1.067191247,3.007701433,1.963211456,2.994282828
ZNF333,4.597680144,5.336422651,4.870157548,3.620809249,3.399635963,2.918971972
TVP23C,5.474676148,3.376443203,5.286984616,1.351209932,4.696834027,5.188654118
RDH10,0.33114339,1.56116481,1.880211405,1.495802593,-0.379871571,1.407363629
RDH10,3.285661141,2.369756808,3.962447226,2.22097995,2.05265586,1.962626754
SRSF12,1.546408028,3.706187934,2.223129038,1.403267722,1.243157223,0.365188598
FAM71A,4.363619659,4.908976186,5.175855896,3.453925769,2.876434434,4.883503519
FAM71A,2.049104471,3.861737058,3.683932206,2.825704232,3.186313553,2.2173362
GAPT,1.854977064,3.969785959,4.479172345,-0.717593408,1.505936648,-1.296215334
FLJ30901 /// SCUBE1,3.270715808,6.009562163,3.244789659,2.140304222,1.877975848,1.489923083
ERICH5,-1.707369006,4.357277515,2.467848098,1.583644237,0.53490824,-1.254127635
ERICH5,2.218790465,0.806472547,0.918218292,-0.364249323,2.522347072,1.348549709
CCDC185,2.677341356,4.405917501,3.884578385,3.447103068,3.331590576,2.097593943
ENTHD1,1.754028041,1.146557475,4.308761309,2.135672763,-0.531306172,3.343024
ENTHD1,-0.475178055,0.9801862,0.636571262,1.684562934,0.20739313,0.573209693
TSSK3,3.524113838,3.356073364,4.504512345,2.907621376,2.465911794,2.904832807
WFDC6,2.216131988,2.815673791,2.237627959,1.342668518,0.464929601,1.538140809
CLEC12A,1.757505487,4.888957507,3.080234684,3.659570689,-2.264609534,1.615034856
BRF1,3.609601325,2.216029522,3.769073492,1.962730389,2.22490773,1.0931342
C15orf27,4.191373142,3.994136168,5.015988114,3.403663114,2.322683869,3.922806773
BACH1 /// GRIK1-AS2,4.042801905,4.245313109,2.341843463,2.220593083,0.403049529,1.908151921
CALML6,1.459143051,5.025237031,4.861985131,3.817193455,2.286724453,4.097012359
NLRP5,1.619957587,2.234492124,2.17338652,0.563314353,3.289636782,5.000193849
ODF4,3.905735978,4.408514869,3.81492976,3.714564249,1.818077481,0.826168125
ODF4,4.239176518,2.68132107,5.762295657,3.774091236,3.581736879,4.320520781
CLEC4F,4.332235311,2.225935037,4.171759264,3.427807278,3.212771644,4.224588283
DEFB106A /// DEFB106B,7.994913433,8.342332507,8.511531292,6.246252256,6.066048278,6.65366197
DEFB106A /// DEFB106B,1.075142383,2.448906236,2.026116609,2.574881394,2.002896907,-1.049919841
WFDC9,4.941162665,3.793406927,4.118774998,2.56765496,2.747612971,2.911680079
WFDC9,4.607123143,2.614243395,4.562248531,4.08183385,4.532460349,4.439935577
NEDD1,4.492205712,3.246081201,4.133456668,4.368286439,3.931626331,3.690316517
TTLL10,1.516262301,1.990363143,2.400256467,0.311851831,-0.34975564,1.092796035
TTLL10,4.623035739,4.345119563,4.783702845,4.280317943,2.675070685,3.694623938
CALR3,1.1859363,2.156927255,2.315253197,0.451350923,0.274398841,0.507596771
C10orf25,2.878523291,4.094548564,4.618238656,3.622696128,3.567837462,3.558671728
ETV3,4.615121984,4.700511851,4.759491429,4.013185307,1.975046828,3.80775676
KLHL10,0.76928935,3.365188598,4.466822859,2.827412574,-0.284531815,2.320484678
KLHL10,2.957115975,4.864230725,4.929980315,3.453675602,2.930230177,3.409567443
TM2D3,10.65847928,11.30340405,10.80250021,10.8060904,10.29856668,10.66318448
ZNF485,2.350019098,3.107143827,2.573750179,5.185493933,4.636235983,4.913803751
WDR17,0.1944149,0.269440157,0.355681623,3.977289083,3.071961695,1.802135301
MFSD6L,2.474197197,3.346488912,4.199970667,1.718210361,1.509219509,2.435799254
CDH23 /// LOC100653137,2.806159051,2.200209281,3.070045788,1.476983009,0.634193626,0.698262937
ANKAR,3.183862821,4.124369496,3.952464037,3.248527246,2.034317856,2.203862044
MEGF11,1.354147453,2.991484659,0.022900402,-1.758081736,1.389858625,-1.584483605
GPR182,2.750467159,3.957552487,5.109001095,3.466770665,0.695521743,2.198245825
ESX1,4.372541233,2.067056979,4.613071897,3.81562666,2.029763831,3.529758491
C8orf12,0.64487149,0.48286893,0.066054738,-0.115259868,-0.493243713,-0.925157563
LOC653486 /// SCGB1C1,3.499054978,1.493160547,1.907852072,-0.732994036,0.00662118,0.944768509
DNAJC5G,4.330307412,2.763624032,2.094418507,2.74125124,0.018107131,2.603468493
WDR88,0.810994164,1.215746925,4.72582294,4.490550877,0.374967121,2.484504238
WDR88,-0.624145381,2.015483297,0.566123469,-0.200574446,-1.168735629,-0.52996195
PRUNE2,3.869269335,5.128272777,4.482170651,1.899485023,2.698389635,3.313530299
MBD3L2,1.030992823,3.9502631,2.556220936,2.124397621,1.456007059,-0.426259029
ADAMTSL1,0.038492371,1.444963844,1.464286634,-0.206616797,2.783678752,0.096882524
MBD3L1,2.317778713,3.986756777,2.748274443,0.99316711,2.74091677,2.720766578
MBD3L1,1.666015743,1.617749842,4.342732511,1.581110175,2.948555996,1.699089612
FAM46D,-0.419140582,2.757804139,3.034014936,2.479248672,2.297320564,1.653757113
SERPINB11,3.094399926,-0.680906988,4.197723882,-1.730497605,2.327609767,3.322303147
LINC00161,2.025418659,2.674008609,4.024700872,2.450949919,1.050062815,-0.850337413
DSCR10,4.826126421,5.174885746,6.033226958,3.687071889,3.512075149,4.920574379
DSCR10,2.661619642,3.027044323,3.579759427,4.460355959,3.928057587,4.719632501
ABHD11,-1.325123594,-0.539565663,-0.153533161,-1.661834623,-2.08566204,-1.541655796
ACAP2,7.221171411,7.054837626,6.098383763,7.877934389,7.605116484,7.785942819
GAMT,4.069495954,4.342739622,4.707944375,5.800951655,5.5455885,6.917861349
GAMT,2.87600215,4.934752371,5.61069711,1.322395452,4.871375485,4.388630408
PLCD3,2.388666223,2.613083688,1.615091372,1.946255497,0.023865662,1.104652005
IRF6,1.559085501,0.522467602,2.125961823,3.204702595,-0.189849784,0.988237496
IRF6,4.226069181,4.33074482,2.023340527,1.266036894,1.823676001,2.800154423
PTPRC,3.1925903,3.506081414,-1.524778119,2.001088824,0.084322838,-2.457902451
MAN1A2,5.291504104,4.894056207,5.025919127,4.317137616,5.531462561,4.790975293
RAPH1,4.946131952,5.926917421,5.090273357,3.137628115,3.199014247,3.336469069
SMCR8,2.755697321,3.304538786,5.005557184,1.824657891,1.8892321,1.973949181
LACTB,5.745113606,4.993900756,5.08518668,5.619383663,6.057894277,6.540396206
LACTB,2.370613483,3.225401422,2.65568155,3.410218975,4.357847551,3.762880293
BNC1,-1.606768336,-1.615618577,-0.542622142,0.484921796,-0.417906504,-1.607036395
MPP4,4.452312086,0.863684767,3.99019248,2.562894467,7.140298086,6.859907447
LACE1,4.574392198,4.524678045,4.695487222,4.374928183,4.449937681,4.141996744
IDI2,3.130660751,1.806542662,1.56176114,3.3899935,-0.081425998,2.530764947
CYP11B1,1.926139885,4.541905073,3.140436752,1.323070257,0.293240983,0.294088416
TAF8,1.801270424,3.007321104,1.704557724,2.357281738,1.249609171,2.236207878
COBL,-0.194804966,2.431489247,3.783550945,0.547755808,-0.052480458,-0.235376985
SLAMF6,4.374949043,4.609991295,5.332589792,3.955573194,2.977344042,3.903703531
ZSCAN20,4.22582247,5.202315844,4.748069376,3.806870507,1.490796015,3.706077394
ZSCAN20,3.766436149,4.075755094,4.089489676,3.758740227,3.229183358,3.006994515
GPBAR1,1.078404892,1.597392917,2.464396429,-0.284090819,-0.075480482,0.614238683
RHBDL2,6.845214031,7.139991256,7.578229264,4.934648593,4.020582206,2.994907325
FRAS1,2.887761152,4.759645883,4.52500393,3.9655442,0.990156167,1.53974942
BRSK1,3.582278998,2.13201084,4.104462471,-0.644437893,-0.487293728,1.596553553
CRB2,3.517326092,4.388499539,3.884383015,0.848221308,2.116467898,0.75557983
KCNE4,3.944061933,4.702147745,5.552515407,2.130825464,1.221481175,1.619079591
KCNE4,2.095843424,2.984979363,4.809970012,3.016954444,2.23434803,3.189407105
CD300LG,7.609348674,7.882496327,8.201653463,-0.641623994,1.236602825,1.586764743
SLC34A3,6.092721205,7.572927554,7.596562497,7.628861064,7.57761765,8.253119455
CPA6,3.585935991,1.503496305,1.203219954,2.551922007,3.698607442,4.422037847
WBP2NL,-1.536959342,-0.241649061,3.248059628,-0.814821039,-2.380085596,1.325812367
HIPK1,4.196418197,3.889493012,4.108942569,2.54756828,2.967535692,3.812806241
HIPK1,3.66309409,1.688511614,4.425560011,0.558581123,0.603463745,0.084213971
MTBP,4.559473458,4.164392089,3.893546662,4.461849385,3.898498604,4.08730159
ACVR1C,5.319018132,6.308206132,6.430261852,4.49891461,3.74092756,4.498282785
TMEM74,3.834994307,3.409553867,4.525329742,4.527064078,4.424290603,4.005920917
TMEM74,3.285514671,0.562064099,3.064748368,3.517426885,3.232447406,1.953134841
TIGD4,-0.131074649,-0.02385636,-1.509951593,2.069523451,2.229400268,2.833505433
TIGD4,4.811686802,3.070579957,2.177946486,3.775861763,2.449067406,3.869466763
ART5,2.682355304,3.235906237,3.104541307,0.921009705,1.466564478,4.135543078
FAM71C,2.436452375,2.995600292,2.872925264,0.998260504,-0.398860704,2.835301601
C21orf67,5.075455617,4.371440376,6.058892246,4.541421911,4.20084173,4.267588232
NLRP11,4.166482474,2.089535438,0.87457666,0.30439422,4.900089113,5.032290427
ATP6V1C2,1.907106022,0.451910031,0.627942961,1.73614158,-0.87035825,1.847026769
CLDN19,4.673273737,4.810623044,4.440487166,2.51776197,3.735218876,4.189840369
VTI1A,4.38601076,5.336044109,4.665426882,3.130206046,3.064286203,3.27559563
KIF6,1.482554036,2.244795746,1.721880084,-0.089436174,-0.792144621,0.060780654
IQCD,5.902811626,5.209078996,6.298473202,4.726542431,3.467292525,5.091137031
TAGAP,5.965507261,6.795572158,6.645557566,5.746903914,5.411344888,6.064768628
TAGAP,2.955083993,3.666722512,0.272584626,3.248597072,0.901702967,3.304454092
STON2,4.109084699,2.676921799,2.286269055,0.214435698,1.034110045,3.702081237
SERPINA12,2.163885117,0.907682898,1.651196384,3.667347181,1.406264541,3.403608584
LETM2,3.590781642,0.816009811,4.342312949,5.249756299,5.452223117,5.357836997
BSND,0.713053497,0.043876405,4.549385778,2.859240068,2.216998005,0.730539969
BSND,2.159968186,3.220647251,2.714992778,1.97399325,2.184756353,2.309595312
CLEC4C,-1.191909903,4.306429951,3.686220365,2.855397752,2.888339968,0.971596892
NLRC4,4.900784711,5.295976429,4.638085425,3.202834562,0.093952233,0.957483768
NLRC4,0.6513801,5.329392731,4.369989863,3.803784991,3.215632007,3.551700572
PRSS36,3.088387567,5.562715612,2.777449174,3.648925559,4.365167596,3.246888399
ZDHHC15,4.392021984,5.342952911,5.21615217,2.942961085,2.256781217,0.662606572
RAI1,4.290291689,4.268067535,6.756756451,4.506417874,4.453247584,4.587497012
CDK15,2.301330104,1.058683617,2.27865983,2.002770919,1.145377474,0.929904591
ZNF570,4.031765704,3.838871111,4.974134628,4.295914,3.126348478,0.342714025
AF131215.4,1.408820535,2.521867363,1.709003833,2.806917925,0.067211902,0.217950333
NUDT9P1,1.99256905,2.671087258,3.308417671,3.063787657,2.392259714,0.902173937
BTBD16,1.376618231,0.068092929,1.483689395,0.276961112,-0.906591267,-0.33084621
RTP3,0.956852146,1.843614081,1.665520116,-0.369519973,0.011309565,1.877390894
RTP3,2.246903596,4.809023361,3.979421765,2.01647136,3.934101278,4.468101035
TSPEAR,1.539933005,0.125373379,0.828794038,1.296034449,-2.645299607,3.4675273
MIPOL1,-0.645550096,3.075123553,2.527475755,1.270612661,2.297743146,3.299455683
MIPOL1,3.298134804,1.263959838,0.601458821,1.364667675,3.411385568,4.499686464
C6orf141,6.020535537,4.735787513,5.166004365,5.194918348,6.334791713,6.347031326
ALMS1P,3.635951689,4.721979579,5.283947693,1.665642901,3.926786991,4.316920476
MYO3B,2.842367442,1.428576582,2.801038599,1.373932129,0.126576457,0.666174853
ADAM21,5.323906836,5.720516523,5.238041631,4.327407132,3.49487638,4.804972509
TRIML2,3.086016026,4.200700512,4.614109087,2.432328758,5.117200486,5.048122817
ABCC13,2.885111613,2.540166174,3.833618771,-0.503828111,1.945304301,3.184883275
ABCC13,2.825307363,0.193039962,4.332371385,0.754032318,3.284348297,1.129863276
IL12RB1,4.567685378,2.692692769,3.290355099,3.363437439,0.66157632,1.364101729
GTF2A1L,4.356848079,3.954708144,4.25856415,1.877704992,1.395863465,1.3637486
TRPV3,3.104859961,4.670313502,3.355044464,2.429615964,3.561900412,3.984197409
CNBD1,3.449363279,3.285174329,1.842291,2.051772311,2.450638537,2.777089318
CNBD1,0.383496944,-0.484715465,1.936873462,-0.100635632,1.124440634,-1.084694803
ABCC12,2.674026693,-1.025253382,3.642193247,-0.683332896,1.039208596,-0.633273258
MMP21,3.548831154,3.735099705,2.088233204,-1.479564676,1.59010375,0.299819042
TMEM190,2.405028426,5.314254225,3.386921282,1.284342374,1.067459746,2.511561652
GAS2L2,3.02200554,2.836889589,2.508137041,1.84231514,1.835932157,1.781498206
KCNG4,5.160758876,5.261290095,5.20414463,4.539748179,3.866067232,3.176444056
PXT1,2.643392144,4.629129268,4.716524549,3.597888675,2.966306792,3.356918487
CACNG5,4.810222004,3.237407693,5.285731412,3.619988096,2.74225203,4.952095894
LINC00308,3.015504706,0.128887252,4.570705789,2.153173005,0.765398957,2.178982284
LINC00308,1.011230834,2.11035322,4.307348373,3.20051377,0.463622457,2.937461159
FAM223A /// FAM223B,3.500585378,4.596571442,4.69330295,4.485078993,3.917660888,3.608584543
WFDC11,0.461256129,1.915042791,1.739943127,-0.359999222,-0.211778699,3.408834118
IFNL2 /// IFNL3,3.861548495,4.719758432,5.513275968,0.685581392,3.217689824,4.038427402
JAK1,5.989647677,6.754446611,7.371715669,5.651269873,5.734904676,4.989420614
JAK1,7.74679645,7.454932583,7.422325521,6.962653126,7.309203478,6.701673804
CDC42SE2,5.865211147,5.222255874,5.294084003,5.374531792,6.198427361,6.289330983
CDC42SE2,5.29792872,2.644080079,1.593683629,5.014310654,6.130333741,5.734007744
ACACB,5.017489925,6.383541872,4.51220792,4.845856324,5.039002367,5.12689854
ACACB,0.235849577,1.179396394,1.60336404,0.382479123,-0.881486111,0.995875215
RFWD2,7.401289138,7.046818432,7.858005869,7.662362182,6.94330015,6.432942709
STX6,6.542086216,6.50565914,6.164882798,5.951312694,6.141743401,5.608140955
ANLN,6.94557259,5.082127747,5.216831205,10.4002604,8.211498982,8.015861034
SPRR4,6.349344045,6.567823775,6.833509987,4.915496999,4.498276402,5.430208318
POLR2J /// POLR2J2 /// POLR2J3 /// UPK3BL,5.228253043,5.411636397,5.471060617,5.403976623,5.021612975,3.221773475
LOC441259 /// POLR2J /// POLR2J2 /// POLR2J3 /// UPK3BL,3.944811604,4.116215023,2.087408527,3.553815114,3.03904186,3.617850909
HSH2D,0.655589968,0.811561453,1.005917325,2.208479803,2.537420325,0.957780906
TRNT1,3.989792978,4.582586109,5.52195214,4.779848027,3.652979738,3.452384576
TMEM163,3.034944628,4.555300815,4.604652556,1.065517167,1.099477003,4.166201253
ARHGAP5,3.726874802,4.118642124,3.224412325,1.687226454,4.271216488,4.31874344
HERPUD2,5.865475944,4.306028869,5.359461432,5.834142337,6.275234314,5.658354317
JMJD6,1.370153118,0.691042761,3.781044909,0.921184942,2.001305049,0.362856987
SRCAP,3.069695293,2.514619699,2.836099854,-0.337854671,0.813992515,1.695637548
MAP3K6,4.941284758,4.38783123,2.512965115,3.504111864,3.977115035,4.116938593
ARSG,3.778029806,4.129629222,4.760880922,2.913687925,3.700972307,3.634430637
ZNF101,4.269743843,4.190504244,5.334414531,4.727119945,3.631476843,4.342533412
ZNF101,2.673056595,-0.867483696,2.397523704,5.550586734,4.201100593,4.564012265
PTPN11,1.017765162,2.170017972,3.8493488,2.06194551,2.125366766,-0.018661695
KLHDC7B,5.104068226,2.94849993,4.103371745,1.540944785,3.404671553,4.55606149
ATAD3A /// ATAD3B,0.871181276,1.192617125,2.791166015,0.234096598,0.70996109,0.727807212
ZNF626,5.683067594,6.573906168,6.252048489,6.614711316,4.488238629,4.445375785
PHC3,4.005148437,3.283275822,4.901967424,4.775977615,4.852942674,4.80152601
IL11RA,5.014980087,5.571440184,6.625437079,4.798200896,3.992578113,4.536413529
TNFRSF10A,3.547696591,4.313086189,4.360069245,5.859102379,6.473194324,6.437344274
RAD51L3-RFFL /// RFFL,2.51975072,3.618567571,4.521188968,4.02179062,2.601349467,1.783406363
RAD51L3-RFFL /// RFFL,5.957624452,6.17573616,6.073719567,6.637011704,5.706991854,5.47809816
HPS4,6.265566292,6.800045675,5.631738742,5.981386898,6.005584131,5.594148409
UHMK1,1.588612707,1.171571939,4.402565294,3.787568285,3.56524377,4.317796075
TXNDC2,1.568649923,0.938308378,2.289692844,1.511356708,2.515445018,1.812103869
NAV3,5.576071603,4.713684819,4.322721359,4.944549264,6.208000191,5.083294225
C5orf22,3.919511708,4.671910406,3.28148016,3.38795527,3.87493464,4.028374658
PCDHGB7,1.959328749,2.461863787,1.474352971,0.532526428,-2.635270701,2.873443128
PCDHGB7,1.492135196,4.362112151,1.84868603,0.474098531,2.06164488,1.917794532
ERC1,5.685530934,2.740098609,6.103025476,3.650132667,1.722570944,3.963964187
FLCN,5.356781188,5.182243372,5.345598628,5.128928483,5.460372342,4.810926321
JMJD1C-AS1,5.368551859,4.877812948,6.370206138,5.536746098,4.082651501,4.540802237
LRRC7,-0.995557575,3.862758843,0.793354901,0.542683984,-1.572621244,-1.605617567
SH2D3C,1.843979825,2.157913594,2.008020688,2.260061798,1.114120446,3.112743496
PPP1R3B,4.736658989,4.41719767,4.648281355,3.992442156,4.139395819,4.94889515
PPP1R3B,3.212623809,2.254098145,4.760955416,0.117309386,1.877862016,3.076362413
SLC9A7,0.619159431,1.422604393,1.203902753,3.057465869,3.599222563,3.495938149
IGSF3,3.089276102,3.826192536,3.666904262,2.252585207,3.632151864,3.64110668
RFX6,-1.002703256,-0.119709434,1.849542968,-1.789381719,1.975241307,1.71174598
DIRC1,3.126733378,2.833270633,2.432328758,1.039952532,-1.325040457,-1.571420203
DNAJB7,-1.319225575,1.562078757,0.453196213,-3.001039115,-1.070833169,-0.22006963
UCN3,4.619436488,4.625708843,4.987157121,3.860466259,4.686209157,3.984844511
DIP2A,1.638514111,1.305188424,2.302623206,0.485035185,0.807503306,0.06053166
USP28,2.841794029,4.656702292,1.935542724,5.012121673,3.64617418,4.788262862
CASC5,4.353464448,1.159396683,3.617357262,4.032021475,4.100439479,4.219021339
CASC5,1.200692666,2.821832645,2.959892538,4.650063717,3.323888827,2.383770638
SENP8,4.071762669,4.701438161,3.447658536,3.89633967,4.488090776,3.998448269
GRHL1,1.312839402,3.126880373,1.556556941,0.435959229,1.440495139,-0.009949875
CNBD2,2.233256129,3.899223977,4.195418471,3.180757344,2.150354955,0.902729639
CNBD2,2.592177142,3.699740396,1.458702218,3.177850837,2.661633322,2.730183438
CASKIN1,2.011230834,3.063119783,3.108659938,0.657923486,1.776908303,2.152163945
CACNA2D4,5.205748294,5.657517108,5.168148592,4.09100582,4.833411315,4.454485197
ARL11,0.615689366,1.739096323,-0.157336484,1.333973227,1.844273158,-1.242819688
ARL11,2.498100207,1.063854945,2.92293043,0.545652127,-1.570498653,-1.590866532
