Gene_name,GSM1342279,GSM1342280,GSM1342281,GSM1342282,GSM1342283
LOC648170,-0.08721638,-0.06948948,-0.073592186,0.05475378,0.117684364
LOC644519,-0.17749739,-0.29195738,-0.2969818,-0.17083216,-0.028167248
C6orf128,-0.063191414,-0.003889084,-0.036956787,-0.14711142,-0.114212036
NUMBL,-0.31611633,-0.47026396,0.33642244,0.08810139,0.3777628
LOC652451,0.024950027,0.105941296,-0.02487135,0.014379978,0.024515152
HDAC8,0.33712912,0.695662,-0.022023201,0.20616531,0.35737228
SEMA3E,-0.09392357,-0.19915724,-0.16536903,-0.06417799,-0.005106449
RGS5,0.85809517,1.1169119,-1.0640464,-0.96090746,-0.9791527
LOC650677,0.18466997,-0.057424545,0.043083668,0.0584116,0.13990831
MUC13,-0.12997055,-0.093110085,0.09493446,0.035845757,-0.23913383
XRCC2,0.039505005,-0.3717742,0.37166214,0.15922642,0.06665993
AQP3,-0.3610711,-0.3700838,-0.1514306,-0.08524275,-0.19305134
LOC645947,-0.007887363,0.10468626,0.05229187,-0.037646294,-0.0307827
LOC646307,-0.040236473,0.11792946,0.017384052,-0.09282589,-0.10830164
LOC643576,0.16235209,-0.019680023,0.19704437,-0.021353722,-0.07124996
FBXO44,-0.2879429,-0.1214695,-0.078886986,0.035891533,0.13502598
ENTPD2,-0.41841888,0.1335845,-0.15183163,0.1387558,0.054825306
MARK4,0.19766092,-0.14876747,0.069672585,-0.027712822,-0.11954069
LOC653210,0.15271235,-0.27391768,-0.090332985,-0.13311243,-0.042371273
LOC649683,0.04165268,0.08029318,-0.18265104,-0.20763254,-0.36850262
SPRED3,-0.448781,-0.05892849,0.19299841,0.35756683,-0.041252136
EXOC6,1.2978616,1.2688575,0.14539337,0.12602854,0.04719162
CYP2A13,0.19419003,-0.41481638,-0.03560829,-0.07328224,0.017313957
CRSP2,-0.33592033,0.07354975,-0.012761116,0.09308815,-0.118021965
LOC643069,0.19112682,0.29531813,-0.16738176,0.13099337,-0.15732098
GPC2,-0.14527798,0.014376164,0.000283,0.24302864,-0.036836147
ASB11,-0.0319829,-0.15100145,0.026836395,-0.03515911,0.075199604
RTN3,-0.17786837,-0.30313253,0.22963285,0.33662415,0.2701311
PSG7,-0.0218153,-0.24054098,-0.1366787,0.08726072,0.01869154
ADAM33,0.1606884,0.42662048,-0.07466698,-0.019016743,-0.07070589
