Gene_name,GSM368877,GSM368878,GSM368879,GSM368880,GSM368881,GSM368882,GSM368883,GSM368884,GSM368885,GSM368886,GSM368887,GSM368888,GSM368889,GSM368890
ASRGL1,0.386208719,1.483326465,1.693122931,0.176903154,-1.826400889,-1.826400889,-1.826400889,0.916032514,0.766080517,1.075193723,1.385328773,-1.826400889,-1.826400889,-1.826400889
ARPC2,-3.259779207,-3.069545218,-3.259779207,-3.098276832,2.851850756,-2.562202192,-3.259779207,-3.259779207,-2.422283472,-3.259779207,-3.259779207,2.909989244,-3.259779207,-3.259779207
JUND,-0.735675254,-1.345996109,-0.556931773,-0.987684865,0.322852299,0.156351953,0.022096101,-0.55188758,-0.509893716,-1.050728491,0.147832679,-0.618081384,0.872264823,0.231386698
KIAA1530,-1.331396624,-0.95874906,-1.045342938,-1.833169231,0.810812084,-0.753111516,-1.380635091,-1.35666053,-0.596896278,-0.682573531,-0.055902139,1.254930388,1.125282702,-1.045342938
TUB,1.135148206,0.926170728,0.010555183,0.708393636,0,0,0,0,0,0.427002018,0.15415219,0,0,0
TTF2,0.95154883,1.175336023,0.392716226,-0.155898106,-1.631557591,-1.449737794,-2.666969069,0.432586745,0.892741039,1.044329573,0.46307809,-3.766937564,-0.532240557,-2.721330616
ARID4A,0.625273886,0.782388979,-0.149173271,-0.593622075,-3.995608291,-2.14562629,-0.380150794,0.498563276,1.135411612,0.93610756,0.596474195,-3.995608291,-0.167058579,-0.531816655
ATP6V1E2,-0.090549286,0.013927316,0.443408242,-0.178853913,-2.688631018,-0.317740435,0.745783432,0.097222424,-0.451106992,-0.058999788,0.535236276,-3.719726651,-0.044802803,0.470753394
BMF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC654123,-2.893891923,-2.893891923,-2.893891923,-2.893891923,3.077155799,-0.88081071,-2.893891923,-1.142329387,-2.893891923,-2.40162339,-2.249766263,2.472235952,-2.593974731,-2.893891923
DNHD1,-1.112185975,-0.262487334,-0.98839674,-0.400250402,0.860673966,1.611220419,-0.718417372,-0.908356547,-1.0224818,-0.935036856,-0.939229367,0.456909514,0.246106926,-0.198375419
HOXB2,-0.885312252,-1.249022309,-1.565776545,-0.257186107,1.261120603,-0.486716442,-0.371192134,-1.309021285,-1.028888359,-1.273089862,-1.230262322,-0.164503354,-2.754985541,-0.008618496
SLC7A7,-1.269239925,-3.681738888,1.066616974,-2.308002868,-0.50549888,0.337772449,-0.871339701,0.996907579,0.672272724,-1.786704774,1.358488592,-0.223471996,-0.750104069,-0.349236696
FGF12,0,0,0,0,1.89687777,0,0,0,0,0,0,0,0,0
FER1L3,-3.3311457,-6.509838434,-3.325595834,-6.027560632,-0.469310339,0.46371975,-0.265884987,-2.240950275,-2.260126689,-4.447556302,-2.572869596,-1.85307287,2.55521816,1.038202686
LELP1,0,0,0,0.239467547,0.842849134,1.148136905,0,0,0,0,0,1.423938464,0.416637777,0
COMMD7,-0.289579856,-0.011730371,-0.039615132,0.184509104,0.468630412,0.031412233,-0.21792281,-0.317902239,-0.211854953,-0.491101604,-0.096266589,0.113429979,0.25378882,-0.175644391
DGKB,0,0,0,0,1.262912298,0,0,0,0,0,0,2.902523447,0,0
SLC4A3,0.368179493,1.316487175,0.486455263,0.894809315,-0.64417419,-0.390661364,0.383431076,-0.64417419,0.833751444,-0.64417419,0.182472931,-0.64417419,0.930411769,-0.64417419
LOC399947,-1.39753937,-1.39753937,-1.39753937,-1.39753937,3.758294089,-1.39753937,-1.39753937,-1.39753937,-1.39753937,-1.39753937,-1.39753937,2.678611365,-1.39753937,-1.39753937
ATR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLAA,0.72530995,0.301628218,0.649903531,0.888725548,-4.061504302,-0.780012829,0.118652015,0.622930502,0.167276397,0.372365686,0.093680255,-4.061504302,-0.21385872,-0.313051791
ZNHIT2,0.470570047,0.290096255,0.41427784,1.089075101,-4.096986532,-0.582678567,-0.925113599,0.051711977,-0.169473513,0.187288266,-0.042138754,-4.575432272,0.397771724,-1.06461985
IDH3B,0,0,0,0,2.650704254,1.295314913,0.125977522,0,0,0,0,0.621206167,0,0
LBR,0.991269243,0.793223167,1.035999349,0.635750765,-4.352319794,-2.044044298,-2.442076187,0.86273773,0.850716632,1.198259245,0.224954937,-2.367653435,-2.807615572,-3.713245108
DYSF,-1.958491862,-3.683081594,-0.586183561,-1.755836462,-6.11948177,-0.231432257,1.646057656,-0.101397363,-0.000115112,-1.025890828,1.333910329,1.176657587,-0.251448534,0.61688797
RPP40,0.644741579,0.671657535,0.861214518,0.895907455,-1.948753354,0.375922328,-1.736368495,0.573717303,0.250512086,0.333800894,0.109824215,-4.171013399,-1.051493553,-1.213744638
HRH4,-0.667234404,-0.667234404,-0.667234404,-0.419137573,3.383712353,-0.400613501,-0.667234404,-0.667234404,-0.667234404,-0.667234404,-0.667234404,0.984793683,-0.667234404,-0.667234404
